"Species_name" "Taxonomic_order" "Taxonomic_family" "Taxonomic_genus" "Mean_adult_body_mass_g" "Mean_neonate_body_neonate_body_mass_g" "Mean_home_range_size_km2" "Mean_population_density_ind_km2" "Mean_group_size" "Mean_litter_per_year" "Mean_interbirth_interval" "Mean_weaning_age_d" "Mean_sexual_maturity_age_d" "Mean_litter_size" "Mean_gestation_length_d" "SD_adult_body_mass_g" "SD_neonate_body_neonate_body_mass_g" "SD_home_range_size_km2" "SD_population_density_ind_km2" "SD_group_size" "SD_litter_per_year" "SD_interbirth_interval" "SD_weaning_age_d" "SD_sexual_maturity_age_d" "SD_litter_size" "SD_gestation_length_d"
"Sorex_cinereus" "Soricomorpha" "Soricidae" "Sorex" 4.198 0.225 0.004686375 1151.282 NA NA NA 21.167 NA 5.993 18 0.44079 0.0063 0 97.85897 NA NA NA 1.651026 NA 0.904943 0
"Pseudocheirus_peregrinus" "Diprotodontia" "Pseudocheiridae" "Pseudocheirus" 915.727 0.3 NA 798 NA 1.314 233.588 174.217 340 1.708 NA 91.5727 0 NA 580.146 NA 0.22338 78.25198 40.418344 48.62 0.438956 NA
"Trichosurus_vulpecula" "Diprotodontia" "Phalangeridae" "Trichosurus" 2665.563 0.245 0.045043333 135 NA 1.378 272 169.75 445.067 1.027 17.66 455.811273 0.01764 0.0108214487793249 69.12 NA 0.311428 1.904 36.49625 197.609748 0.047242 1.13024
"Macropus_eugenii" "Diprotodontia" "Macropodidae" "Macropus" 5852.6 0.424 NA 75 NA NA 365 257.346 489.167 1.013 28.8 983.2368 0.030104 NA 12.975 NA NA 0 66.90996 197.623468 0.025325 0.288
"Macropus_parma" "Diprotodontia" "Macropodidae" "Macropus" 4212.5 0.509 NA NA NA NA NA 215.48 547.6 1 33.513 476.0125 0 NA NA NA NA NA 71.75484 116.0912 0 1.776189
"Macropus_rufogriseus" "Diprotodontia" "Macropodidae" "Macropus" 16242.858 0.559 0.243666667 89.5 1.315 NA 315.544 371.893 459.333 1.028 30.182 2192.78583 0.091676 0.147051767249165 93.5275 0.3156 NA 39.127456 111.939793 68.89995 0.058596 3.410566
"Macropus_robustus" "Diprotodontia" "Macropodidae" "Macropus" 24879.172 NA 1.65697 28.167 1.92 NA 258.333 322.143 683.4 1 34.333 7861.818352 NA 0.94973987408566 18.449385 0.05952 NA 4.133328 101.152902 128.4792 0 0.480662
"Macropus_giganteus" "Diprotodontia" "Macropodidae" "Macropus" 33630.005 0.841 1.888595 41 68.467 NA 353.548 459.409 687.02 1.003 36.385 15268.02227 0.074008 2.45574331555183 7.298 17.869887 NA 21.919976 105.66407 226.02958 0.007021 0.254695
"Petrogale_lateralis" "Diprotodontia" "Macropodidae" "Petrogale" 4412.5 NA NA NA NA NA NA NA NA 1 NA 211.8 NA NA NA NA NA NA NA NA 0 NA
"Petrogale_penicillata" "Diprotodontia" "Macropodidae" "Petrogale" 6700 NA NA NA NA NA 202.5 210.9 556.667 1 30.9 402 NA NA NA NA NA 2.43 79.9311 23.380014 0 0.0927
"Thylogale_billardierii" "Diprotodontia" "Macropodidae" "Thylogale" 5698 0.407 NA NA NA NA 284.5 218 406 1 30.067 1492.876 0.009361 NA NA NA NA 80.5135 82.186 13.804 0 0.090201
"Bettongia_gaimardi" "Diprotodontia" "Potoroidae" "Bettongia" 1680.472 0.315 0.453335 19 NA NA NA 93.433 286.5 1.013 20.88 18.485192 0.01071 0.003335000180985 0 NA NA NA 48.678593 46.986 0.019247 0.7308
"Bettongia_lesueur" "Diprotodontia" "Potoroidae" "Bettongia" 1400 0.317 NA NA NA NA 119.5 123.688 218 1 21.193 99.4 0 NA NA NA NA 2.5095 47.743568 46.216 0 0.148351
"Potorous_tridactylus" "Diprotodontia" "Potoroidae" "Potorous" 1036.222 0.313 NA 79.4 NA NA 129.6 133.39 365 1 33.833 223.823952 0.018467 NA 101.3938 NA NA 7.5168 31.07987 0 0 3.281801
"Lasiorhinus_latifrons" "Diprotodontia" "Vombatidae" "Lasiorhinus" 26333.333 0.5 NA 189.6 NA NA NA 307.917 762 1 20.75 2106.66664 0 NA 206.2848 NA NA NA 60.659649 272.034 0 0.249
"Phascolarctos_cinereus" "Diprotodontia" "Phascolarctidae" "Phascolarctos" 7752.538 NA 0.015 200 NA 1 448.25 288.1 838.864 1 32.775 2209.47333 NA 0.0075 100 NA 0 164.50775 84.1252 311.218544 0 3.08085
"Perameles_gunnii" "Peramelemorphia" "Peramelidae" "Perameles" 810 0.225 0.03025 529.167 NA 3.533 73.667 60.571 104.5 2.399 12.375 59.94 0.024975 0.01245742749625 244.475154 NA 0.378031 15.912072 6.178242 20.691 0.299875 0.210375
"Didelphis_marsupialis" "Didelphimorphia" "Didelphidae" "Didelphis" 1182.023 0.192 0.416125 101.1 1 2.023 116 89 188.143 7.041 13.6 177.30345 0.024384 0.489413770162875 51.6621 0 0.434945 45.704 11.748 21.448302 1.858824 0.7344
